Sentence,Words,Entity
,the,O
,river,B-E
,whose,O
,source,B-E
,is,O
,Shannon,B-E
,Pot,I-E
,and,O
,mouth,B-E
,location,I-E
,is,O
Sentence: 4131,What,O
,is,O
,the,O
,organisation,B-E
,whose,O
,purposes,B-E
,are,O
,Environmentalism,B-E
,and,O
Sentence: 4132,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,other,O
,name,B-E
,of,O
,the,O
,Sports,B-E
,team,I-E
,members,I-E
,whose,O
,name,B-E
,is,O
,Matt,B-E
,Williams,I-E
,(,I-E
,New,I-E
,Zealand,I-E
,footballer),I-E
,?,O
Sentence: 4133,Count,O
,the,O
,belongs,B-E
,to,I-E
,of,O
,the,O
,race,B-E
,horses,I-E
,whose,O
,awards,B-E
,is,O
Sentence: 4134,What,O
,is,O
,the,O
,religious,B-E
,affiliation,I-E
,of,O
,the,O
,office,B-E
,holders,I-E
,whose,O
,profession,B-E
,is,O
Sentence: 4135,What,O
,are,O
,the,O
,baseball,B-E
,teams,I-E
,whose,O
,stockholder's,B-E
,co-founder,B-E
,is,O
Sentence: 4136,Is,O
,John,B-E
,Muir,I-E
,the,O
,person,B-E
,that,I-E
,first,I-E
,ascented,I-E
,a,I-E
,mountain,I-E
,of,O
Sentence: 4137,What,O
,is,O
,the,O
,known,B-E
,for,I-E
,of,O
,the,O
,medician,B-E
,whose,O
,work,B-E
,institutions,I-E
,is,O
,Western,B-E
,Pennsylvania,I-E
,Hospital,I-E
,?,O
Sentence: 4138,What,O
,is,O
,the,O
,country,B-E
,of,O
,the,O
,publisher,B-E
,whose,O
,co-founder,B-E
,is,O
,Panos,B-E
,Ioannides,I-E
,?,O
Sentence: 4139,What,O
,is,O
,the,O
,first,B-E
,team,I-E
,of,O
,the,O
,1967,B-E
,Mexican,I-E
,Grand,I-E
,Prix,I-E
,and,O
,is,B-E
,owned,I-E
,by,I-E
,of,O
,the,O
,Dagenham,B-E
,wind,I-E
,turbines,I-E
Sentence: 4140,What,O
,is,O
,the,O
,education,B-E
,of,O
,the,O
,Sidney,B-E
,Catlin,I-E
,Partridge,I-E
,and,O
,alma,B-E
,mater,I-E
,of,O
,the,O
,Lisa,B-E
,Brummel,I-E
Sentence: 4141,What,O
,is,O
,the,O
,sport,B-E
,of,O
,the,O
,schools,B-E
,whose,O
,city,B-E
,is,O
Sentence: 4142,What,O
,is,O
,the,O
,ethnic,B-E
,group,I-E
,of,O
,the,O
,Riley,B-E
,Reid,I-E
,and,O
,state,B-E
,of,I-E
,origin,I-E
,of,O
,the,O
,Holmes,B-E
,Colbert,I-E
Sentence: 4143,Is,O
,John,B-E
,Boehner,I-E
,the,O
,incumbent,B-E
,of,O
Sentence: 4144,What,O
,is,O
,the,O
,american,B-E
,football,I-E
,Team,I-E
,whose,O
,location,B-E
,city,I-E
,is,O
Sentence: 4145,How,O
,many,O
,non-fiction,B-E
,subject,I-E
,of,O
,the,O
,books,B-E
,whose,O
,publisher,B-E
,is,O
,Doubleday,B-E
,(publisher),I-E
,are,O
,there,O
,?,O
Sentence: 4146,What,O
,is,O
,the,O
,founded,B-E
,of,O
,the,O
,Congress,B-E
,of,I-E
,Industrial,I-E
,Organizations,I-E
,and,O
,city,B-E
,of,O
,the,O
,Pittsburgh,B-E
,Steelers,I-E
Sentence: 4147,What,O
,is,O
,the,O
,home,B-E
,town,I-E
,of,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,official,B-E
,residence,I-E
,is,O
,Martha's,B-E
,Vineyard,I-E
,?,O
Sentence: 4148,What,O
,is,O
,the,O
,sea,B-E
,whose,O
,cities,B-E
,is,O
,Kaliningrad,B-E
,and,O
,outflow,B-E
,is,O
Sentence: 4149,Who,O
,is,O
,the,O
,team,B-E
,manager,I-E
,of,O
,200607,O
,Middlesbrough,O
,F.C.,O
,season,O
,?,O
Sentence: 4150,What,O
,is,O
,the,O
,location,B-E
,city,I-E
,of,O
,the,O
,american,B-E
,football,I-E
,Team,I-E
,which,O
,is,O
,the,O
,debut,B-E
,team,I-E
,of,O
,Lee,B-E
,Robinson,I-E
,(American,I-E
,football),I-E
,?,O
Sentence: 4151,What,O
,is,O
,the,O
,owner,B-E
,of,O
,the,O
,bank,B-E
,which,O
,is,O
,the,O
,owned,B-E
,by,I-E
,of,O
,Bloomberg,B-E
,Radio,I-E
,?,O
Sentence: 4152,What,O
,is,O
,the,O
,architect,B-E
,of,O
,McKechnie,O
,Field,O
,?,O
Sentence: 4153,Who,O
,is,O
,the,O
,coach,B-E
,of,O
,201213,O
,Marquette,O
,Golden,O
,Eagles,O
,men's,O
,basketball,O
,team,O
,?,O
Sentence: 4154,What,O
,is,O
,the,O
,region,B-E
,of,O
,the,O
,Miluk,B-E
,language,I-E
,and,O
,Cayuse,B-E
,language,I-E
Sentence: 4155,What,O
,is,O
,the,O
,Governor,B-E
,of,O
,the,O
,Winston,B-E
,Bryant,I-E
,and,O
,President,B-E
,of,O
,the,O
,Carl,B-E
,Stokes,I-E
Sentence: 4156,What,O
,is,O
,the,O
,athletics,B-E
,of,O
,the,O
,PATTS,B-E
,College,I-E
,of,I-E
,Aeronautics,I-E
,and,O
,field,B-E
,of,O
,the,O
,Jon,B-E
,Speelman,I-E
Sentence: 4157,What,O
,is,O
,the,O
,Home,B-E
,Stadium,I-E
,of,O
,the,O
,soccer,B-E
,clubs,I-E
,whose,O
,coach,B-E
,is,O
,Justine,B-E
,Omojong,I-E
,?,O
Sentence: 4158,What,O
,is,O
,the,O
,predecessor,B-E
,of,O
,the,O
,automobile,B-E
,which,O
,is,O
,the,O
,related,B-E
,of,O
,Oldsmobile,B-E
,88,I-E
,?,O
Sentence: 4159,What,O
,is,O
,the,O
,royalty,B-E
,whose,O
,parent,B-E
,is,O
,Ptolemy,B-E
,XII,I-E
,Auletes,I-E
,and,O
,consort,B-E
,is,O
Sentence: 4160,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,theme,B-E
,music,I-E
,composer,I-E
,is,O
,Primus,B-E
,(band),I-E
,and,O
,voices,B-E
,is,O
Sentence: 4161,What,O
,is,O
,the,O
,chancellor,B-E
,of,O
,the,O
,university,B-E
,whose,O
,campus,B-E
,is,O
,Woodlane,B-E
,New,I-E
,Jersey,I-E
,?,O
Sentence: 4162,What,O
,is,O
,the,O
,mountain,B-E
,whose,O
,parent,B-E
,mountain,I-E
,peak's,I-E
,located,B-E
,in,I-E
,area,I-E
,is,O
Sentence: 4163,What,O
,is,O
,the,O
,ingredient,B-E
,of,O
,Blodpalt,O
,?,O
Sentence: 4164,What,O
,is,O
,the,O
,developed,B-E
,by,I-E
,of,O
,the,O
,GNOWSYS,B-E
,and,O
,GNU,B-E
,TeXmacs,I-E
Sentence: 4165,List,O
,the,O
,region,B-E
,served,I-E
,of,O
,the,O
,organisations,B-E
,which,O
,are,O
Sentence: 4166,Is,O
,Malaysia,B-E
,the,O
,assembly,B-E
,of,O
Sentence: 4167,Who,O
,is,O
,the,O
,music,B-E
,of,O
,Tonight's,O
,the,O
,Night,O
,(2003,O
,musical),O
,?,O
Sentence: 4168,How,O
,many,O
,owls,B-E
,whose,O
,made,B-E
,by's,I-E
,products,B-E
,is,O
,Mass,B-E
,media,I-E
,are,O
,there?,O
Sentence: 4169,What,O
,is,O
,the,O
,honours,B-E
,of,O
,the,O
,race,B-E
,horses,I-E
,whose,O
,trainer,B-E
,is,O
Sentence: 4170,What,O
,is,O
,the,O
,settlement,B-E
,whose,O
,leader,B-E
,name's,I-E
,affiliation,B-E
,is,O
Sentence: 4171,What,O
,is,O
,the,O
,nationality,B-E
,of,O
,the,O
,Viveka,B-E
,Babajee,I-E
,and,O
,nationality,B-E
,of,O
,the,O
,Ronny,B-E
,Vencatachellum,I-E
Sentence: 4172,Is,O
,Ulsan,B-E
,the,O
,assembly,B-E
,of,O
Sentence: 4173,What,O
,is,O
,the,O
,affiliation,B-E
,of,O
,the,O
,Elections,B-E
,whose,O
,leader,B-E
,is,O
Sentence: 4174,What,O
,is,O
,the,O
,source,B-E
,of,O
,the,O
,owl,B-E
,whose,O
,left,B-E
,tributary,I-E
,is,O
,Krapanski,B-E
,Potok,I-E
,?,O
Sentence: 4175,What,O
,are,O
,the,O
,other,O
,notable,B-E
,commanders,I-E
,of,O
,the,O
,owls,B-E
,whose,O
,notable,B-E
,commanders,I-E
,is,O
,Paul,B-E
,Hausser,I-E
Sentence: 4176,What,O
,is,O
,the,O
,source,B-E
,of,O
,Raa,O
,(river),O
,?,O
Sentence: 4177,Is,O
,Tahiti,B-E
,the,O
,city-served,B-E
,of,O
Sentence: 4178,Who,O
,is,O
,the,O
,producer,B-E
,of,O
,Frampton's,O
,Camel,O
,?,O
Sentence: 4179,Who,O
,is,O
,the,O
,director,B-E
,of,O
,Lennon,O
,Legend:,O
,The,O
,Very,O
,Best,O
,of,O
,John,O
,Lennon,O
,(DVD),O
,?,O
Sentence: 4180,What,O
,is,O
,the,O
,political,B-E
,party,I-E
,of,O
,the,O
,Arun,B-E
,Chandra,I-E
,Guha,I-E
,and,O
,Indira,B-E
,Gandhi,I-E
Sentence: 4181,What,O
,is,O
,the,O
,origin,B-E
,of,O
,Svetlana,O
,Navasardyan,O
,?,O
Sentence: 4182,What,O
,is,O
,the,O
,alma,B-E
,mater,I-E
,of,O
,the,O
,scientist,B-E
,whose,O
,known,B-E
,for,I-E
,is,O
,Rational,B-E
,analysis,I-E
,?,O
Sentence: 4183,Who,O
,is,O
,the,O
,belongs,B-E
,to,I-E
,of,O
,Chelsea,O
,F.C.,O
,?,O
Sentence: 4184,How,O
,many,O
,working,B-E
,for,I-E
,are,O
,there,O
,in,O
Sentence: 4185,How,O
,many,O
,movies,B-E
,are,O
,there,O
,whose,O
,music's,B-E
,home,B-E
,town,I-E
,is,O
,Volos,B-E
,?,O
Sentence: 4186,What,O
,is,O
,the,O
,Location,B-E
,of,O
,the,O
,Stagecoach,B-E
,Colorado,I-E
,and,O
,Peetz,B-E
,Table,I-E
,Wind,I-E
,Energy,I-E
,Center,I-E
Sentence: 4187,What,O
,is,O
,the,O
,fictional,B-E
,character,I-E
,whose,O
,relatives,B-E
,is,O
,Huey,B-E
,Dewey,I-E
,and,I-E
,Louie,I-E
,and,O
,species,B-E
,is,O
Sentence: 4188,What,O
,is,O
,the,O
,owner,B-E
,of,O
,the,O
,website,B-E
,which,O
,is,O
,the,O
,label,B-E
,of,O
,Seed,B-E
,Eight,I-E
,?,O
Sentence: 4189,What,O
,is,O
,the,O
,land,B-E
,of,O
,Sierra,O
,del,O
,Merendn,O
,?,O
Sentence: 4190,What,O
,is,O
,the,O
,border,B-E
,of,O
,the,O
,valleys,B-E
,whose,O
,municipality,B-E
,is,O
Sentence: 4191,What,O
,is,O
,the,O
,university,B-E
,of,O
,Vanderbilt,O
,Commodores,O
,?,O
Sentence: 4192,Whose,O
,relativess,B-E
,are,O
,Clan,B-E
,McDuck,I-E
,and,O
Sentence: 4193,Who,O
,are,O
,the,O
,musical,B-E
,artists,I-E
,whose,O
,label,B-E
,is,O
Sentence: 4194,Who,O
,is,O
,the,O
,person,B-E
,that,I-E
,first,I-E
,ascented,I-E
,a,I-E
,mountain,I-E
,of,O
,the,O
,Cathedral,B-E
,Peak,I-E
,(California),I-E
,and,O
,Mount,B-E
,Hoffmann,I-E
Sentence: 4195,What,O
,is,O
,the,O
,currency,B-E
,of,O
,the,O
,owls,B-E
,whose,O
,capital,B-E
,is,O
Sentence: 4196,How,O
,many,O
,other,O
,home,B-E
,stadium,I-E
,are,O
,there,O
,of,O
,the,O
,soccer,B-E
,club,I-E
,seasons,I-E
,whose,O
,home,B-E
,stadium,I-E
,is,O
,Luzhniki,B-E
,Stadium,I-E
,?,O
Sentence: 4197,What,O
,is,O
,the,O
,training,B-E
,of,O
,William,O
,Anthony,O
,(artist),O
,?,O
Sentence: 4198,Who,O
,is,O
,the,O
,Composer,B-E
,of,O
,the,O
,Motorpsycho,B-E
,Nitemare,I-E
,and,O
,composed,B-E
,by,I-E
,of,O
,the,O
,The,B-E
,Times,I-E
,They,I-E
,Are,I-E
,a-Changin',I-E
,(musical),I-E
Sentence: 4199,What,O
,is,O
,the,O
,river,B-E
,whose,O
,source,B-E
,location,I-E
,is,O
Sentence: 4200,What,O
,is,O
,the,O
,denomination,B-E
,of,O
,the,O
,president,B-E
,who,O
,is,O
,the,O
,leader,B-E
,of,O
,Mongolian,B-E
,legislative,I-E
,election,I-E
,2004,I-E
,?,O
Sentence: 4201,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,television,B-E
,shows,I-E
,whose,O
,network's,B-E
,key,B-E
,person,I-E
,is,O
Sentence: 4202,What,O
,is,O
,the,O
,municipality,B-E
,of,O
,Homestead,O
,Grays,O
,Bridge,O
,?,O
Sentence: 4203,What,O
,is,O
,the,O
,denomination,B-E
,of,O
,the,O
,politician,B-E
,whose,O
,alma,B-E
,mater,I-E
,is,O
,Yokohama,B-E
,National,I-E
,University,I-E
,?,O
Sentence: 4204,Who,O
,is,O
,the,O
,narrated,B-E
,of,O
,The,O
,Incredible,O
,Hulk,O
,(1982,O
,TV,O
,series),O
,?,O
Sentence: 4205,What,O
,is,O
,the,O
,sport,B-E
,of,O
,the,O
,schools,B-E
,whose,O
,language,B-E
,is,O
Sentence: 4206,What,O
,is,O
,the,O
,main,B-E
,interests,I-E
,of,O
,the,O
,Philip,B-E
,Novak,I-E
,and,O
,type,B-E
,of,O
,the,O
,Vesak,B-E
Sentence: 4207,Give,O
,the,O
,total,O
,number,O
,of,O
,ethnic,B-E
,groups,I-E
,whose,O
,Languages's,B-E
,family,B-E
,is,O
Sentence: 4208,What,O
,is,O
,the,O
,area,B-E
,of,O
,the,O
,Tar,B-E
,Heel,I-E
,Sports,I-E
,Network,I-E
,and,O
,official,B-E
,residence,I-E
,of,O
,the,O
,Michael,B-E
,Nichols,I-E
,(photographer),I-E
Sentence: 4209,What,O
,is,O
,the,O
,settlement,B-E
,whose,O
,neighboring,B-E
,municipalitiess,I-E
,are,O
,Cologny,B-E
,and,O
Sentence: 4210,How,O
,many,O
,Artist,B-E
,are,O
,there,O
,of,O
,the,O
,artworks,B-E
,whose,O
,museum,B-E
,is,O
,So,B-E
,Paulo,I-E
,Museum,I-E
,of,I-E
,Art,I-E
,?,O
Sentence: 4211,What,O
,is,O
,the,O
,command,B-E
,structure,I-E
,of,O
,the,O
,VP-8,B-E
,and,O
,VP-10,B-E
Sentence: 4212,What,O
,is,O
,the,O
,used,B-E
,money,I-E
,of,O
,the,O
,French,B-E
,Southern,I-E
,and,I-E
,Antarctic,I-E
,Lands,I-E
,and,O
,product,B-E
,of,O
,the,O
,Karafarin,B-E
,Bank,I-E
Sentence: 4213,Give,O
,me,O
,the,O
,total,O
,number,O
,of,O
,membership,B-E
,of,O
,the,O
,organisations,B-E
,whose,O
,membership,B-E
,is,O
Sentence: 4214,What,O
,is,O
,the,O
,content,B-E
,licence,I-E
,of,O
,MSX,O
,BASIC,O
,?,O
Sentence: 4215,Who,O
,is,O
,the,O
,fictional,B-E
,character,I-E
,whose,O
,series,B-E
,is,O
Sentence: 4216,Who,O
,are,O
,the,O
,comics,B-E
,characters,I-E
,whose,O
,creators,B-E
,is,O
Sentence: 4217,Who,O
,is,O
,the,O
,is,B-E
,owned,I-E
,by,I-E
,of,O
,Victoria,O
,(ship),O
,?,O
Sentence: 4218,What,O
,is,O
,the,O
,place,B-E
,of,I-E
,birth,I-E
,of,O
,the,O
,religious,B-E
,whose,O
,successor,B-E
,is,O
,Sevan,B-E
,Ross,I-E
,?,O
Sentence: 4219,What,O
,is,O
,the,O
,owned,B-E
,by,I-E
,of,O
,the,O
,Ted,B-E
,Williams,I-E
,Tunnel,I-E
,and,O
,Leonard,B-E
,P.,I-E
,Zakim,I-E
,Bunker,I-E
,Hill,I-E
,Memorial,I-E
,Bridge,I-E
Sentence: 4220,What,O
,is,O
,the,O
,region,B-E
,of,O
,the,O
,school,B-E
,which,O
,is,O
,the,O
,rival,B-E
,of,O
,Somerset,B-E
,Berkley,I-E
,Regional,I-E
,High,I-E
,School,I-E
,?,O
Sentence: 4221,Give,O
,me,O
,a,O
,count,O
,of,O
,soccer,B-E
,managers,I-E
,whose,O
,nationalteam,B-E
,is,O
Sentence: 4222,What,O
,is,O
,the,O
,alma,B-E
,mater,I-E
,of,O
,the,O
,Henry,B-E
,Morton,I-E
,Dexter,I-E
,and,O
,Jack,B-E
,McGregor,I-E
Sentence: 4223,What,O
,are,O
,the,O
,companies,B-E
,whose,O
,foundation,B-E
,place's,I-E
,governing,B-E
,body,I-E
,is,O
Sentence: 4224,Count,O
,the,O
,associated,B-E
,musical,I-E
,artist,I-E
,of,O
,the,O
,musical,B-E
,artists,I-E
,whose,O
,label,B-E
,is,O
Sentence: 4225,What,O
,is,O
,the,O
,purpose,B-E
,of,O
,New,O
,Zealand,O
,Chess,O
,Federation,O
,?,O
Sentence: 4226,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,television,B-E
,shows,I-E
,whose,O
,company's,B-E
,subsidiary,B-E
,is,O
Sentence: 4227,What,O
,is,O
,the,O
,operated,B-E
,by,I-E
,of,O
,Twin,O
,Cities,O
,400,O
,?,O
Sentence: 4228,What,O
,is,O
,the,O
,authority,B-E
,of,O
,the,O
,Maine,B-E
,School,I-E
,of,I-E
,Science,I-E
,and,I-E
,Mathematics,I-E
,and,O
,restingplace,B-E
,of,O
,the,O
,Charles,B-E
,A.,I-E
,Boutelle,I-E
Sentence: 4229,Give,O
,me,O
,a,O
,count,O
,of,O
,royalties,B-E
,whose,O
,buried,B-E
,in,I-E
,is,O
Sentence: 4230,How,O
,many,O
,location,B-E
,are,O
,there,O
,of,O
,the,O
,religiouss,B-E
,whose,O
,title,B-E
,is,O
,Marja',B-E
,?,O
Sentence: 4231,List,O
,the,O
,soccer,B-E
,players,I-E
,whose,O
,currentclub's,B-E
,ground,B-E
,is,O
Sentence: 4232,What,O
,are,O
,the,O
,country,B-E
,of,O
,Pioneer,O
,Corporation?,O
Sentence: 4233,What,O
,is,O
,the,O
,President,B-E
,of,O
,the,O
,Carl,B-E
,Stokes,I-E
,and,O
,president,B-E
,of,O
,the,O
,Wyche,B-E
,Fowler,I-E
Sentence: 4234,Is,O
,God,B-E
,Save,I-E
,the,I-E
,Queen,I-E
,the,O
,national,B-E
,anthem,I-E
,of,O
Sentence: 4235,What,O
,are,O
,the,O
,movies,B-E
,whose,O
,language,B-E
,is,O
Sentence: 4236,Is,O
,Booker,B-E
,T,I-E
,(wrestler),I-E
,the,O
,trainer,B-E
,of,O
Sentence: 4237,What,O
,is,O
,the,O
,used,B-E
,money,I-E
,of,O
,Kerguelen,O
,Islands,O
,?,O
Sentence: 4238,What,O
,are,O
,the,O
,musicals,B-E
,whose,O
,music's,B-E
,label,B-E
,is,O
Sentence: 4239,What,O
,are,O
,the,O
,owls,B-E
,whose,O
,major,B-E
,shrine's,I-E
,leader,B-E
,name,I-E
,is,O
Sentence: 4240,What,O
,is,O
,the,O
,main,B-E
,interests,I-E
,of,O
,the,O
,philosopher,B-E
,who,O
,is,O
,the,O
,past,B-E
,members,I-E
,of,O
,Senser,B-E
,?,O
Sentence: 4241,What,O
,is,O
,the,O
,leader,B-E
,name,I-E
,of,O
,Hackweiser,O
,?,O
Sentence: 4242,What,O
,is,O
,the,O
,city,B-E
,of,O
,the,O
,radio,B-E
,station,I-E
,which,O
,is,O
,the,O
,sister,B-E
,station,I-E
,of,O
,KTXY,B-E
,?,O
Sentence: 4243,What,O
,is,O
,the,O
,POB,B-E
,of,O
,the,O
,senator,B-E
,who,O
,is,O
,the,O
,successor,B-E
,of,O
,Hank,B-E
,Brown,I-E
,?,O
Sentence: 4244,What,O
,is,O
,the,O
,constituency,B-E
,of,O
,the,O
,Jonas,B-E
,Gahr,I-E
,Stre,I-E
,and,O
,born,B-E
,at,I-E
,of,O
,the,O
,Sverre,B-E
,Krogh,I-E
,Sundb,I-E
Sentence: 4245,What,O
,is,O
,the,O
,battle,B-E
,of,O
,the,O
,Stephen,B-E
,Urban,I-E
,and,O
,battles,B-E
,of,O
,the,O
,Ali,B-E
,Habib,I-E
,Mahmud,I-E
Sentence: 4246,What,O
,is,O
,the,O
,religious,B-E
,affiliation,I-E
,of,O
,Katyayana,O
,(Buddhist),O
,?,O
Sentence: 4247,What,O
,is,O
,the,O
,born,B-E
,at,I-E
,of,O
,the,O
,engineer,B-E
,who,O
,is,O
,the,O
,manufactured,B-E
,by,I-E
,of,O
,Esnault-Pelterie,B-E
,R.E.P.,I-E
,1,I-E
,?,O
Sentence: 4248,What,O
,soccer,B-E
,managers's,I-E
,managerclubs,B-E
,is,O
,England,B-E
,national,I-E
,under-21,I-E
,football,I-E
,team,I-E
Sentence: 4249,What,O
,is,O
,the,O
,military,B-E
,conflict,I-E
,whose,O
,commanders,B-E
,are,O
,John,B-E
,McEwen,I-E
,and,O
Sentence: 4250,What,O
,is,O
,the,O
,party,B-E
,of,O
,the,O
,office,B-E
,holders,I-E
,whose,O
,constituency,B-E
,is,O
Sentence: 4251,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,judgess,B-E
,are,O
,Randy,B-E
,Jackson,I-E
,and,O
Sentence: 4252,What,O
,is,O
,the,O
,largest,B-E
,city,I-E
,of,O
,the,O
,country,B-E
,which,O
,is,O
,the,O
,Host,B-E
,city,I-E
,of,O
,1951,B-E
,Asian,I-E
,Games,I-E
,?,O
Sentence: 4253,What,O
,is,O
,the,O
,royalty,B-E
,whose,O
,mum,B-E
,is,O
,Cleopatra,B-E
,V,I-E
,of,I-E
,Egypt,I-E
,and,O
,marriage,B-E
,partner,I-E
,is,O
Sentence: 4254,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,theme,B-E
,music,I-E
,composer's,I-E
,associated,B-E
,band,I-E
,is,O
Sentence: 4255,Is,O
,The,B-E
,Smiths,I-E
,the,O
,associated,B-E
,band,I-E
,of,O
Sentence: 4256,What,O
,is,O
,the,O
,administrative,B-E
,headquarters,I-E
,of,O
,the,O
,Pulau,B-E
,Ubin,I-E
,and,O
,resting,B-E
,place,I-E
,of,O
,the,O
,Nicole,B-E
,Lai,I-E
Sentence: 4257,What,O
,is,O
,the,O
,origin,B-E
,of,O
,the,O
,beverage,B-E
,whose,O
,mfr,B-E
,is,O
,Refriango,B-E
,?,O
Sentence: 4258,What,O
,is,O
,the,O
,builder,B-E
,of,O
,the,O
,stadium,B-E
,whose,O
,tenants,B-E
,is,O
,Costa,B-E
,Rica,I-E
,national,I-E
,football,I-E
,team,I-E
,?,O
Sentence: 4259,What,O
,is,O
,the,O
,state,B-E
,of,O
,the,O
,rugby,B-E
,league,I-E
,which,O
,is,O
,the,O
,sports,B-E
,league,I-E
,of,O
,Auckland,B-E
,rugby,I-E
,union,I-E
,team,I-E
,?,O
Sentence: 4260,What,O
,is,O
,the,O
,serving,B-E
,railway,I-E
,line,I-E
,of,O
,Warwick,O
,railway,O
,station,O
,Perth,O
,?,O
Sentence: 4261,What,O
,is,O
,the,O
,format,B-E
,of,O
,the,O
,radio,B-E
,program,I-E
,whose,O
,creator,B-E
,is,O
,Timoteo,B-E
,Jeffries,I-E
,?,O
Sentence: 4262,What,O
,is,O
,the,O
,location,B-E
,of,O
,the,O
,protected,B-E
,areas,I-E
,whose,O
,nearest,B-E
,city,I-E
,is,O
Sentence: 4263,Is,O
,Western,B-E
,(genre),I-E
,the,O
,literary,B-E
,genre,I-E
,of,O
Sentence: 4264,What,O
,is,O
,the,O
,series,B-E
,of,O
,the,O
,Short,B-E
,Trips:,I-E
,A,I-E
,Day,I-E
,in,I-E
,the,I-E
,Life,I-E
,and,O
,notable,B-E
,work,I-E
,of,O
,the,O
,Russell,B-E
,T,I-E
,Davies,I-E
Sentence: 4265,What,O
,is,O
,the,O
,battles,B-E
,of,O
,the,O
,president,B-E
,whose,O
,primeminister,B-E
,is,O
,Chung,B-E
,Won-shik,I-E
,?,O
Sentence: 4266,What,O
,is,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,resting,B-E
,place,I-E
,is,O
,Palo,B-E
,Alto,I-E
,California,I-E
,and,O
,successor,B-E
,is,O
Sentence: 4267,What,O
,are,O
,the,O
,movies,B-E
,whose,O
,distributed,B-E
,by,I-E
,is,O
Sentence: 4268,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,other,O
,destinations,B-E
,of,O
,the,O
,airlines,B-E
,whose,O
,destinations,B-E
,is,O
Sentence: 4269,Count,O
,the,O
,other,O
,academic,B-E
,discipline,I-E
,of,O
,the,O
,academic,B-E
,journals,I-E
,whose,O
,academic,B-E
,discipline,I-E
,is,O
Sentence: 4270,What,O
,is,O
,the,O
,awarded,B-E
,of,O
,the,O
,Charles,B-E
,LeMaire,I-E
,and,O
,Nick,B-E
,Park,I-E
Sentence: 4271,What,O
,is,O
,the,O
,location,B-E
,town,I-E
,of,O
,the,O
,building,B-E
,whose,O
,building,B-E
,type,I-E
,is,O
,Ferris,B-E
,wheel,I-E
,?,O
Sentence: 4272,What,O
,is,O
,the,O
,movie,B-E
,whose,O
,screenplay,B-E
,is,O
,Akiva,B-E
,Goldsman,I-E
,and,O
,editor,B-E
,is,O
Sentence: 4273,Give,O
,me,O
,a,O
,count,O
,of,O
,movies,B-E
,whose,O
,language,B-E
,is,O
Sentence: 4274,Give,O
,me,O
,the,O
,total,O
,number,O
,of,O
,television,B-E
,shows,I-E
,whose,O
,theme,B-E
,music,I-E
,composer,I-E
,is,O
,Julian,B-E
,Gingell,I-E
,and,O
,created,B-E
,by,I-E
,is,O
Sentence: 4275,What,O
,is,O
,the,O
,services,B-E
,of,O
,the,O
,21Vianet,B-E
,and,O
,computing,B-E
,platform,I-E
,of,O
,the,O
,Google,B-E
,Cloud,I-E
,Connect,I-E
Sentence: 4276,Who,O
,is,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,constituency,B-E
,is,O
Sentence: 4277,What,O
,is,O
,the,O
,location,B-E
,of,O
,the,O
,Lekh,B-E
,Castle,I-E
,and,O
,source,B-E
,country,I-E
,of,O
,the,O
,SamurAbsheron,B-E
,channel,I-E
Sentence: 4278,How,O
,many,O
,family,B-E
,are,O
,there,O
,of,O
,the,O
,mammals,B-E
,whose,O
,kingdom,B-E
,is,O
,Animal,B-E
,?,O
Sentence: 4279,What,O
,is,O
,the,O
,party,B-E
,of,O
,the,O
,governor,B-E
,whose,O
,successor,B-E
,is,O
,A.,B-E
,K.,I-E
,Singh,I-E
,?,O
Sentence: 4280,What,O
,is,O
,the,O
,head,B-E
,coach,I-E
,of,O
,the,O
,owls,B-E
,whose,O
,club,B-E
,is,O
Sentence: 4281,What,O
,is,O
,the,O
,university,B-E
,attended,I-E
,of,O
,the,O
,Sidney,B-E
,Catlin,I-E
,Partridge,I-E
,and,O
,Cyril,B-E
,Hume,I-E
Sentence: 4282,What,O
,is,O
,the,O
,faith,B-E
,of,O
,the,O
,office,B-E
,holders,I-E
,whose,O
,branch,B-E
,is,O
Sentence: 4283,Is,O
,Lucrezia,B-E
,Tornabuoni,I-E
,the,O
,has,B-E
,mother,I-E
,of,O
Sentence: 4284,What,O
,is,O
,the,O
,producer,B-E
,of,O
,the,O
,movies,B-E
,whose,O
,music,B-E
,is,O
Sentence: 4285,What,O
,are,O
,the,O
,Recorded,B-E
,of,O
,Special,O
,26?,O
Sentence: 4286,How,O
,many,O
,movies,B-E
,are,O
,there,O
,whose,O
,music,B-E
,composer's,I-E
,associated,B-E
,acts,I-E
,is,O
,Demis,B-E
,Roussos,I-E
,?,O
Sentence: 4287,What,O
,is,O
,the,O
,allegiance,B-E
,of,O
,David,O
,Animle,O
,Hansen,O
,?,O
Sentence: 4288,What,O
